编号,更新时间,名称,当日新增确诊,当日新增疑似,当日新增治愈,当日新增死亡,当日新增重症,当日现存确诊,累计确诊,累计疑似,累计治愈,累计死亡,累计重症,累计输入,total_newConfirm,total_newDead,total_newHeal
420000,2021-10-31 09:39:57,湖北,1,,0,0,,1,68309,0,63784,4512,0,0,,,
700000,2021-10-31 14:30:01,台湾,13,,0,0,,13,16412,0,13742,847,0,0,,,
810000,2021-10-31 17:00:06,香港,4,,1,0,,3,12346,0,12034,213,0,0,,,
440000,2021-10-31 09:39:57,广东,1,,1,0,,0,3224,0,3180,8,0,0,,,
310000,2021-10-31 09:39:56,上海,9,,6,0,,3,2726,0,2664,7,0,0,,,
230000,2021-10-31 09:39:56,黑龙江,19,,0,0,,19,1768,0,1698,13,0,0,,,
320000,2021-10-31 00:04:47,江苏,0,,0,0,,0,1600,0,1597,0,0,0,,,
530000,2021-10-31 09:39:57,云南,2,,1,0,,1,1563,0,1470,2,0,0,,,
410000,2021-10-31 09:39:57,河南,1,,0,0,,1,1559,0,1515,22,0,0,,,
330000,2021-10-31 16:25:04,浙江,5,,0,0,,5,1484,0,1439,1,0,0,,,
130000,2021-10-31 16:40:04,河北,2,,0,0,,2,1323,0,1310,7,0,0,,,
350000,2021-10-31 09:39:57,福建,0,,0,0,,0,1303,0,1282,1,0,0,,,
510000,2021-10-31 09:39:57,四川,0,,0,0,,0,1222,0,1208,3,0,0,,,
430000,2021-10-31 00:04:48,湖南,0,,0,0,,0,1197,0,1185,4,0,0,,,
110000,2021-10-31 09:39:57,北京,1,,1,0,,0,1162,0,1114,9,0,0,568.0,0.0,529.0
340000,2021-10-31 00:04:47,安徽,0,,0,0,,0,1008,0,1002,6,0,0,,,
650000,2021-10-31 00:04:47,新疆,0,,0,0,,0,981,0,978,3,0,0,,,
370000,2021-10-31 09:39:57,山东,4,,2,0,,2,978,0,940,7,0,0,,,
360000,2021-10-31 09:39:57,江西,1,,0,0,,1,938,0,936,1,0,0,,,
610000,2021-10-31 00:04:47,陕西,0,,0,0,,0,697,0,673,3,0,0,,,
500000,2021-10-31 00:04:47,重庆,0,,0,0,,0,603,0,597,6,0,0,,,
150000,2021-10-31 17:45:06,内蒙古,15,,8,0,,7,594,0,425,1,0,0,,,
220000,2021-10-31 00:04:47,吉林,0,,0,0,,0,577,0,571,3,0,0,,,
120000,2021-10-31 11:39:58,天津,1,,1,0,,0,504,0,488,3,0,0,,,
210000,2021-10-31 09:39:57,辽宁,0,,1,0,,-1,466,0,457,2,0,0,,,
450000,2021-10-31 12:00:00,广西,3,,3,0,,0,338,0,302,2,0,0,,,
620000,2021-10-31 09:39:57,甘肃,9,,0,0,,9,295,0,198,2,0,0,,,
140000,2021-10-31 00:04:48,山西,0,,0,0,,0,260,0,260,0,0,0,,,
460000,2021-10-31 00:04:47,海南,0,,0,0,,0,190,0,184,6,0,0,,,
520000,2021-10-31 00:04:48,贵州,0,,0,0,,0,158,0,145,2,0,0,,,
640000,2021-10-31 09:39:57,宁夏,3,,0,0,,3,107,0,77,0,0,0,,,
820000,2021-10-31 11:39:58,澳门,0,,1,0,,-1,77,0,73,0,0,0,,,
630000,2021-10-31 00:04:47,青海,0,,0,0,,0,22,0,18,0,0,0,,,
540000,2021-10-31 00:04:47,西藏,0,,0,0,,0,1,0,1,0,0,0,,,
