id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_newHeal,total_newConfirm,total_newDead
C202006210854051,2021-10-31 09:39:57,境外输入,0,,,,,,297,0,259,0,0,85,,
110106,2021-10-31 00:04:47,丰台,0,,,,,,277,0,273,0,0,230,234.0,0.0
110115,2021-10-31 00:04:48,大兴,0,,,,,,134,0,134,0,0,95,95.0,0.0
110108,2021-10-31 00:04:47,海淀,0,,,,,,84,0,82,0,0,18,20.0,0.0
110105,2021-10-31 00:04:47,朝阳,0,,,,,,81,0,80,0,0,5,6.0,0.0
110102,2021-10-31 00:04:48,西城,0,,,,,,59,0,59,0,0,6,6.0,0.0
110114,2021-10-31 09:39:57,昌平,1,,,,,,58,0,32,0,0,3,29.0,0.0
110113,2021-10-31 00:04:48,顺义,0,,,,,,45,0,45,0,0,35,35.0,0.0
110111,2021-10-31 00:04:48,房山,0,,,,,,25,0,20,0,0,4,9.0,0.0
110100,2021-10-31 00:04:48,外地来京,0,,,,,,25,0,25,0,0,0,0.0,0.0
110112,2021-10-31 00:04:47,通州,0,,,,,,20,0,11,9,0,1,1.0,9.0
110101,2021-10-31 00:04:48,东城,0,,,,,,19,0,19,0,0,5,5.0,0.0
110107,2021-10-31 00:04:47,石景山,0,,,,,,15,0,15,0,0,1,1.0,0.0
110116,2021-10-31 00:04:47,怀柔,0,,,,,,8,0,8,0,0,1,1.0,0.0
110228,2021-10-31 00:04:47,密云,0,,,,,,7,0,7,0,0,0,0.0,0.0
110109,2021-10-31 00:04:47,门头沟,0,,,,,,5,0,5,0,0,2,2.0,0.0
921100,2021-10-31 08:14:54,未明确地区,0,,,,,,2,0,39,0,0,38,1.0,-9.0
110229,2021-10-31 00:04:48,延庆,0,,,,,,1,0,1,0,0,0,0.0,0.0
110117,2020-08-20 00:00:32,平谷,0,,0.0,0.0,,,0,0,0,0,0,0,0.0,0.0
953563,2020-08-20 00:00:32,境外输入人员,0,,0.0,0.0,,,0,0,0,0,0,0,-174.0,0.0
